WAVELENGTH,S-T-00,S-R-00,D-T-00,D-R-00
10280,99.287649,0.063706,99.53723,0.10767
10300,99.280383,0.061452,99.54037,0.10509
10320,99.26407,0.063721,99.54353,0.10251
10340,99.243723,0.069381,99.54668,0.09993
10360,99.224968,0.076204,99.54983,0.09736
10380,99.214147,0.082151,99.55295,0.0948
10400,99.211263,0.086482,99.55605,0.09227
10420,99.207431,0.087819,99.5591,0.08975
10440,99.20156,0.086765,99.56212,0.08726
10460,99.185459,0.082467,99.56509,0.0848
10480,99.158505,0.075864,99.56799,0.08237
10500,99.131394,0.07059,99.57082,0.07999
10520,99.103776,0.068096,99.57356,0.07765
10540,99.084958,0.070431,99.57623,0.07535
10560,99.07755,0.079144,99.5788,0.07311
10580,99.074576,0.089197,99.58126,0.07092
10600,99.071464,0.096894,99.58361,0.06879
10620,99.064595,0.100408,99.58678,0.06666
10640,99.045905,0.093358,99.58974,0.06464
10660,99.019799,0.08109,99.5925,0.06272
10680,98.992989,0.070084,99.59504,0.06091
10700,98.966603,0.061785,99.59734,0.05922
10720,98.948139,0.063622,99.59942,0.05765
10740,98.937373,0.074776,99.60126,0.0562
10760,98.928778,0.088885,99.60284,0.05488
10780,98.919668,0.10239,99.60416,0.05369
10800,98.907087,0.112348,99.60522,0.05264
10820,98.884324,0.11154,99.60601,0.05172
10840,98.858481,0.106039,99.60653,0.05095
10860,98.831172,0.09734,99.60674,0.05032
10880,98.804985,0.088598,99.60668,0.04984
10900,98.784646,0.084228,99.60631,0.04951
10920,98.770816,0.085444,99.60563,0.04934
10940,98.75738,0.089388,99.60464,0.04933
10960,98.744773,0.096556,99.60333,0.04949
10980,98.727906,0.103686,99.60169,0.0498
11000,98.703766,0.110295,99.59972,0.05029
11020,98.674883,0.115427,99.59538,0.05076
11040,98.645971,0.118549,99.59075,0.05138
11060,98.617096,0.119771,99.58582,0.05216
11080,98.593473,0.119086,99.58059,0.0531
11100,98.57782,0.117382,99.57504,0.0542
11120,98.564633,0.114969,99.56918,0.05547
11140,98.550791,0.112391,99.563,0.0569
11160,98.536565,0.1103,99.5565,0.0585
11180,98.514182,0.109438,99.54965,0.06028
11200,98.484619,0.109613,99.54247,0.06223
11220,98.450988,0.112559,99.53495,0.06436
11240,98.415145,0.118467,99.52708,0.06668
11260,98.377238,0.127132,99.51886,0.06917
11280,98.342996,0.139041,99.51028,0.07185
11300,98.309906,0.154181,99.50134,0.07472
11320,98.275389,0.169677,99.47279,0.07778
11340,98.237183,0.183391,99.44393,0.08103
11360,98.194396,0.195523,99.41478,0.08447
11380,98.142581,0.202189,99.38532,0.08811
11400,98.08266,0.204669,99.35555,0.09195
11420,98.016774,0.206079,99.32548,0.096
11440,97.946405,0.208435,99.29508,0.10024
11460,97.872368,0.212309,99.26437,0.10469
11480,97.797898,0.222441,99.23333,0.10934
11500,97.722213,0.237488,99.20196,0.11421
11520,97.64251,0.253805,99.11781,0.11928
11540,97.556757,0.271658,99.03356,0.12457
11560,97.462859,0.287894,98.94923,0.13006
11580,97.357259,0.300415,98.86478,0.13578
11600,97.23781,0.309029,98.78025,0.14171
11620,97.110119,0.315343,98.6956,0.14785
11640,96.97294,0.319421,98.61084,0.15422
11660,96.830294,0.322279,98.52596,0.16081
11680,96.687561,0.325036,98.44097,0.16762
11700,96.547878,0.328936,98.35585,0.17465
11720,96.409073,0.333681,98.33427,0.18191
11740,96.270393,0.339267,98.31229,0.1894
11760,96.131421,0.346436,98.28987,0.19711
11780,95.992564,0.354219,98.26704,0.20505
11800,95.851068,0.363381,98.2438,0.21321
11820,95.710292,0.373659,98.22013,0.22161
11840,95.585288,0.385297,98.19603,0.23024
11860,95.474245,0.398817,98.17152,0.2391
11880,95.382426,0.413536,98.14656,0.2482
11900,95.319295,0.429432,98.12119,0.25752
11920,95.284115,0.44646,98.14607,0.26709
11940,95.267333,0.463137,98.17035,0.27688
11960,95.261597,0.478556,98.19403,0.28692
11980,95.26953,0.493942,98.21711,0.29718
12000,95.276161,0.508329,98.23959,0.30769
12020,95.275014,0.521204,98.22715,0.31846
12040,95.270412,0.534533,98.21423,0.32947
12060,95.258655,0.548197,98.20081,0.34072
12080,95.239257,0.562372,98.18691,0.3522
12100,95.213173,0.577869,98.17252,0.36392
12120,95.184263,0.595136,98.15763,0.37588
12140,95.151916,0.61376,98.14226,0.38807
12160,95.11555,0.632629,98.12638,0.4005
12180,95.072786,0.651305,98.11002,0.41317
12200,95.024428,0.669196,98.09317,0.42607
12220,94.970444,0.686425,98.07583,0.43922
12240,94.906664,0.701595,98.05798,0.4526
12260,94.835475,0.716396,98.03966,0.46622
12280,94.760237,0.732308,98.02084,0.48007
12300,94.680519,0.750234,98.00153,0.49417
12320,94.599178,0.770177,97.97507,0.5085
12340,94.516944,0.792558,97.94816,0.52307
12360,94.436561,0.819561,97.92077,0.53788
12380,94.357615,0.849221,97.89292,0.55292
12400,94.278266,0.877718,97.86462,0.56821
12420,94.199196,0.905865,97.83585,0.58373
12440,94.119602,0.931537,97.80662,0.59948
12460,94.037984,0.953824,97.77693,0.61547
12480,93.954117,0.969976,97.74678,0.6317
12500,93.868637,0.981903,97.71618,0.64816
12520,93.782114,0.99561,97.68513,0.66486
12540,93.694613,1.009974,97.65362,0.68179
12560,93.606798,1.026764,97.62166,0.69896
12580,93.518033,1.050124,97.58925,0.71636
12600,93.429378,1.081383,97.55639,0.73399
12620,93.340386,1.120514,97.52308,0.75186
12640,93.251074,1.159262,97.48932,0.76995
12660,93.161425,1.197018,97.45512,0.78828
12680,93.070918,1.234919,97.42049,0.80684
12700,92.979331,1.266028,97.3854,0.82563
12720,92.885878,1.288488,97.34988,0.84465
12740,92.790798,1.30346,97.31392,0.8639
12760,92.692429,1.315299,97.27752,0.88337
12780,92.589111,1.328062,97.24069,0.90308
12800,92.481657,1.339507,97.20343,0.92301
12820,92.36937,1.354109,97.16575,0.94316
12840,92.250793,1.377681,97.12762,0.96354
12860,92.126529,1.407894,97.08909,0.98415
12880,91.997048,1.443292,97.05012,1.00498
12900,91.863122,1.481728,97.01073,1.02603
12920,91.724814,1.521896,96.97092,1.0473
12940,91.582492,1.564293,96.93071,1.06879
12960,91.43665,1.604569,96.89008,1.09051
12980,91.288232,1.64043,96.84902,1.11244
13000,91.136146,1.67494,96.80757,1.13459
13020,90.980258,1.707636,96.73457,1.15695
13040,90.819741,1.739927,96.66131,1.17953
13060,90.655905,1.771225,96.58777,1.20233
13080,90.488541,1.802734,96.51395,1.22534
13100,90.317715,1.835792,96.43989,1.24856
13120,90.144459,1.870226,96.36555,1.27199
13140,89.971772,1.905149,96.29095,1.29564
13160,89.801104,1.940004,96.21609,1.31949
13180,89.633092,1.974764,96.14098,1.34355
13200,89.469023,2.009302,96.06561,1.36782
13220,89.310389,2.043022,95.99001,1.3923
13240,89.158746,2.075219,95.91414,1.41698
13260,89.013196,2.107197,95.83802,1.44186
13280,88.871719,2.140449,95.76167,1.46695
13300,88.734551,2.1747,95.68507,1.49224
13320,88.601506,2.211212,95.65121,1.51773
13340,88.471129,2.249482,95.61694,1.54342
13360,88.342935,2.29004,95.58226,1.5693
13380,88.215652,2.334494,95.54716,1.59539
13400,88.090406,2.382146,95.51167,1.62167
13420,87.969174,2.429447,95.47578,1.64814
13440,87.852081,2.476375,95.43948,1.6748
13460,87.73907,2.524004,95.40279,1.70166
13480,87.630227,2.570864,95.3657,1.72871
13500,87.526631,2.614928,95.32822,1.75595
13520,87.428011,2.656817,95.29036,1.78337
13540,87.334538,2.696017,95.25212,1.81098
13560,87.24083,2.734194,95.21349,1.83878
13580,87.145109,2.771846,95.17449,1.86676
13600,87.049186,2.808705,95.13512,1.89492
13620,86.950723,2.84525,95.09537,1.92326
13640,86.845896,2.883126,95.05525,1.95179
13660,86.735865,2.92269,95.01478,1.98049
13680,86.619304,2.963481,94.97393,2.00937
13700,86.500431,3.004581,94.93274,2.03843
13720,86.381854,3.045153,94.89118,2.06765
13740,86.262594,3.085745,94.84928,2.09706
13760,86.142351,3.12682,94.80703,2.12663
13780,86.024953,3.166816,94.76443,2.15638
13800,85.912853,3.205954,94.7215,2.18629
13820,85.803231,3.244635,94.67822,2.21637
13840,85.694725,3.284035,94.63461,2.24662
13860,85.583979,3.325718,94.59067,2.27703
13880,85.469862,3.369785,94.54639,2.30761
13900,85.353207,3.416134,94.50179,2.33835
13920,85.232489,3.465169,94.45687,2.36924
13940,85.102916,3.51854,94.41163,2.4003
13960,84.96612,3.575145,94.36608,2.43152
13980,84.82521,3.633145,94.32021,2.46289
14000,84.682576,3.691431,94.27404,2.49442
