WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
2.754,4.66271,2.918571,88.838422,92.789718
2.756,4.581403,2.852119,88.78686,92.706927
2.758,4.511532,2.796971,88.756509,92.645647
2.76,4.466693,2.765042,88.755177,92.606083
2.762,4.435321,2.749341,88.754751,92.549758
2.764,4.397397,2.734784,88.728959,92.447161
2.766,4.34552,2.71356,88.674088,92.295849
2.768,4.282371,2.679375,88.606199,92.137767
2.77,4.219909,2.63379,88.550165,92.025986
2.772,4.167546,2.585829,88.506432,91.961327
2.774,4.128559,2.546964,88.452477,91.89473
2.776,4.100567,2.522337,88.365883,91.776956
2.778,4.078246,2.507399,88.264052,91.619403
2.78,4.057232,2.492266,88.183745,91.462919
2.782,4.031977,2.466102,88.163165,91.358787
2.784,3.996674,2.42886,88.182068,91.294605
2.786,3.947875,2.387862,88.193369,91.234049
2.788,3.887541,2.355001,88.139516,91.128652
2.79,3.827898,2.333078,88.041644,90.995817
2.792,3.780844,2.319479,87.942431,90.868126
2.794,3.75283,2.306486,87.891855,90.77689
2.796,3.737065,2.291613,87.880801,90.711919
2.798,3.72185,2.272636,87.889907,90.653911
2.8,3.691884,2.247317,87.88465,90.578446
2.802,3.644712,2.215084,87.863096,90.486778
2.804,3.585092,2.179413,87.833325,90.396882
2.806,3.528523,2.14681,87.811944,90.337375
2.808,3.483552,2.120371,87.798109,90.303666
2.81,3.451509,2.097965,87.779573,90.265515
2.812,3.42591,2.073367,87.746179,90.196465
2.814,3.400886,2.044402,87.701099,90.098368
2.816,3.368811,2.012114,87.665503,90.006467
2.818,3.32685,1.981229,87.659026,89.960148
2.82,3.278304,1.955195,87.681654,89.961364
2.822,3.234289,1.93349,87.706426,89.963527
2.824,3.202725,1.915126,87.709941,89.925404
2.826,3.183256,1.897907,87.688374,89.840074
2.828,3.165248,1.879649,87.666706,89.753054
2.83,3.137343,1.858297,87.667618,89.706906
2.832,3.093564,1.833337,87.702617,89.721425
2.834,3.044515,1.80709,87.742922,89.750682
2.836,2.9994,1.782291,87.765785,89.755798
