WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6.206,55.958524,69.607296,73.822569,74.371722,60.847179,63.562173,65.801922,67.074251,18.504908,13.395428,19.660682
6.208,56.009451,69.672825,73.883768,74.42759,60.89385,63.610171,65.847133,67.113726,18.471855,13.364996,19.642745
6.21,56.061692,69.738772,73.945301,74.483684,60.940713,63.657622,65.891703,67.152444,18.439392,13.334255,19.625382
6.212,56.114515,69.804694,74.00653,74.539539,60.987639,63.705046,65.936205,67.19117,18.40727,13.303183,19.608026
6.214,56.167804,69.870761,74.067699,74.595325,61.034651,63.752171,65.980344,67.229503,18.375453,13.271758,19.590592
6.216,56.221834,69.937097,74.12899,74.651186,61.081819,63.798942,66.024056,67.267365,18.343838,13.240027,19.573375
6.218,56.276616,70.003742,74.190462,74.707179,61.129202,63.845441,66.06742,67.304877,18.312421,13.208052,19.556384
6.22,56.333009,70.070899,74.252347,74.763516,61.176939,63.891676,66.110433,67.342014,18.281487,13.175836,19.539766
6.222,56.390876,70.138997,74.315099,74.820589,61.225235,63.937474,66.152887,67.378412,18.251003,13.143241,19.523482
6.224,56.448672,70.207139,74.37775,74.877549,61.273612,63.983094,66.19511,67.414664,18.220673,13.110478,19.507083
6.226,56.50629,70.274281,74.439178,74.933414,61.32152,64.028852,66.237495,67.451478,18.190422,13.077803,19.490558
6.228,56.562119,70.339776,74.498681,74.987555,61.368641,64.075007,66.280354,67.489371,18.159507,13.045347,19.473549
6.23,56.616474,70.40425,74.556924,75.040541,61.415337,64.121446,66.323529,67.528009,18.128122,13.012918,19.456153
6.232,56.669938,70.467643,74.613869,75.092383,61.46148,64.16795,66.366797,67.567147,18.096726,12.980645,19.438611
6.234,56.722297,70.52982,74.669402,75.143024,61.506896,64.214305,66.409943,67.60657,18.065279,12.948685,19.420883
6.236,56.772963,70.590456,74.72315,75.192151,61.551439,64.260464,66.452888,67.646294,18.033896,12.917072,19.402965
6.238,56.822375,70.649511,74.775038,75.239671,61.595185,64.306579,66.495771,67.686499,18.002509,12.885696,19.384856
6.24,56.871189,70.707765,74.826015,75.286435,61.638309,64.352467,66.538502,67.726813,17.970955,12.854685,19.366538
6.242,56.919634,70.766014,74.877052,75.333318,61.680988,64.397935,66.580986,67.766848,17.939417,12.824174,19.348062
6.244,56.968475,70.824522,74.928449,75.380602,61.723276,64.4429,66.623172,67.80646,17.90822,12.794217,19.329544
6.246,57.017449,70.882856,74.979681,75.427813,61.765078,64.487468,66.665115,67.845862,17.877166,12.764739,19.3109
6.248,57.066537,70.941051,75.030837,75.475004,61.806415,64.531681,66.706854,67.885074,17.846082,12.735719,19.292018
6.25,57.115554,70.999145,75.082015,75.522232,61.847305,64.575576,66.748428,67.924118,17.815017,12.707138,19.272994
6.252,57.164023,71.056625,75.132656,75.568987,61.88753,64.619144,66.789844,67.963134,17.783948,12.679027,19.253908
6.254,57.212793,71.113669,75.182929,75.615437,61.927166,64.662372,66.831083,68.002064,17.752952,12.651382,19.234733
6.256,57.262235,71.171348,75.234022,75.662654,61.966673,64.705301,66.872146,68.040618,17.722099,12.624125,19.215471
6.258,57.313219,71.230725,75.287112,75.7117,62.006506,64.747966,66.913033,68.078512,17.691366,12.597181,19.196122
6.26,57.366674,71.291899,75.34236,75.762727,62.046531,64.790193,66.953555,68.115532,17.660803,12.57066,19.176712
6.262,57.421852,71.354378,75.399192,75.815211,62.086646,64.832075,66.993829,68.151925,17.630229,12.544525,19.157148
6.264,57.478453,71.418029,75.457357,75.868921,62.127117,64.873935,67.034195,68.18807,17.599585,12.518565,19.137353
6.266,57.536681,71.482728,75.516624,75.923648,62.168196,64.916077,67.07498,68.224331,17.568721,12.492582,19.117442
6.268,57.596723,71.548834,75.577449,75.979877,62.209582,64.9581,67.115855,68.260343,17.537565,12.46678,19.097465
6.27,57.657966,71.616121,75.639578,76.037321,62.251395,65.000179,67.156928,68.296227,17.506065,12.44109,19.077402
6.272,57.720288,71.683982,75.702254,76.095169,62.294103,65.042953,67.198708,68.332549,17.474267,12.415191,19.057252
6.274,57.783179,71.751847,75.764766,76.152651,62.338161,65.08704,67.241686,68.369852,17.441769,12.388775,19.037013
6.276,57.846417,71.819992,75.827461,76.210084,62.383549,65.132385,67.285845,68.408065,17.408341,12.361885,19.016641
6.278,57.910106,71.888457,75.890389,76.267575,62.430048,65.17872,67.330946,68.446972,17.37448,12.33464,18.99635
6.28,57.974245,71.95698,75.95321,76.32486,62.477527,65.225911,67.376837,68.486497,17.340313,12.307079,18.976204
6.282,58.038878,72.025383,76.015685,76.381771,62.525857,65.273822,67.42337,68.526553,17.305773,12.279246,18.956168
6.284,58.10421,72.094465,76.078709,76.439194,62.57504,65.322371,67.470497,68.566986,17.270842,12.251216,18.936243
6.286,58.16899,72.163527,76.141525,76.496338,62.625145,65.371716,67.51835,68.607999,17.235635,12.22289,18.916411
6.288,58.233184,72.231327,76.202759,76.551813,62.676225,65.42206,67.567075,68.649888,17.200191,12.194118,18.896611
6.29,58.295153,72.296726,76.26114,76.60432,62.728408,65.473681,67.616893,68.693001,17.164358,12.164737,18.877292
6.292,58.354469,72.3601,76.316962,76.654087,62.782296,65.527246,67.66845,68.73787,17.128031,12.134567,18.858546
6.294,58.412262,72.421805,76.370761,76.701742,62.837143,65.581838,67.720891,68.783678,17.091868,12.103916,18.8402
6.296,58.468684,72.481939,76.422855,76.74773,62.89186,65.636166,67.772999,68.829319,17.055896,12.07319,18.822224
6.298,58.523477,72.540574,76.473489,76.792409,62.945578,65.689202,67.823812,68.873914,17.020702,12.042723,18.804725
6.3,58.576557,72.597617,76.52232,76.835364,62.999335,65.742207,67.874549,68.918549,16.986348,12.012196,18.787686
6.302,58.628725,72.65313,76.569572,76.876819,63.052578,65.794489,67.924517,68.962621,16.952959,11.98173,18.771444
6.304,58.680058,72.707226,76.615649,76.917215,63.104211,65.844696,67.972383,69.004964,16.92052,11.951618,18.756053
6.306,58.730534,72.759937,76.66084,76.956871,63.153267,65.891646,68.016979,69.044558,16.889473,11.922121,18.741243
6.308,58.780101,72.810871,76.704629,76.995256,63.200141,65.93587,68.058818,69.081888,16.859871,11.893144,18.726982
6.31,58.829641,72.86048,76.74741,77.032757,63.245143,65.977688,68.09823,69.117197,16.831474,11.86459,18.713435
6.312,58.879212,72.909402,76.789822,77.070012,63.288401,66.017178,68.13531,69.150507,16.804297,11.836404,18.700638
6.314,58.928844,72.958089,76.832279,77.107431,63.330135,66.054568,68.170296,69.181976,16.77778,11.808532,18.688117
6.316,58.978455,73.005802,76.873881,77.144081,63.370797,66.090622,68.203904,69.212273,16.75187,11.780968,18.675834
6.318,59.029599,73.053072,76.915385,77.180763,63.409658,66.124223,68.235067,69.240455,16.726789,11.753763,18.663939
6.32,59.082276,73.100743,76.957944,77.218681,63.445785,66.153918,68.262406,69.265285,16.702501,11.72697,18.652433
6.322,59.138256,73.149441,77.002507,77.258861,63.478088,66.178094,68.284377,69.285384,16.680012,11.70071,18.641467
6.324,59.197655,73.198339,77.048406,77.300745,63.50563,66.195676,68.299909,69.299818,16.659466,11.675303,18.631087
6.326,59.260001,73.247918,77.095641,77.34413,63.530528,66.209409,68.311682,69.310953,16.63894,11.650246,18.620529
6.328,59.32523,73.298997,77.144478,77.389031,63.555322,66.222534,68.322863,69.32158,16.61839,11.624896,18.609778
6.33,59.394279,73.352227,77.195132,77.435464,63.581999,66.237558,68.335902,69.333858,16.596787,11.598733,18.59836
6.332,59.46721,73.407011,77.247443,77.483426,63.608593,66.251852,68.348212,69.345503,16.574089,11.572184,18.586258
6.334,59.543508,73.463512,77.301412,77.532897,63.635806,66.266486,68.36086,69.357461,16.550036,11.545175,18.573344
6.336,59.623071,73.522134,77.357107,77.583858,63.665144,66.283603,68.375973,69.37161,16.524669,11.517458,18.559644
6.338,59.707472,73.583329,77.414723,77.636429,63.6978,66.304872,68.395206,69.389417,16.496889,11.488798,18.544499
6.34,59.797002,73.647423,77.474892,77.691305,63.732625,66.328486,68.416771,69.409332,16.466597,11.45919,18.527851
6.342,59.888256,73.713633,77.536681,77.74754,63.769986,66.355202,68.441414,69.431974,16.434373,11.428842,18.509999
6.344,59.98107,73.781021,77.598873,77.803884,63.81074,66.386544,68.47064,69.458621,16.400278,11.397966,18.490969
6.346,60.074773,73.848906,77.660574,77.859413,63.855537,66.423626,68.505549,69.490194,16.363901,11.366711,18.470612
6.348,60.169564,73.918424,77.723232,77.91559,63.90347,66.464611,68.5443,69.525072,16.325162,11.334791,18.448893
6.35,60.262103,73.988795,77.785878,77.971454,63.955054,66.510715,68.588125,69.564377,16.284814,11.302421,18.426205
6.352,60.352484,74.058708,77.846873,78.025366,64.011224,66.564005,68.63911,69.609988,16.243022,11.269953,18.402664
6.354,60.436004,74.127156,77.904814,78.075888,64.073306,66.627015,68.699796,69.664189,16.198551,11.237608,18.37726
