WAVELENGTH,Normal,20 deg,Normal,20 deg
2.768,9.86945,7.865291,19.76919,17.619921
2.77,9.618287,7.612631,19.516889,17.343681
2.772,9.465357,7.427526,19.366941,17.068251
2.774,9.404388,7.329869,19.29358,16.891412
2.776,9.385117,7.290433,19.232475,16.830311
2.778,9.367993,7.269268,19.155815,16.846345
2.78,9.318245,7.225526,19.053876,16.892803
2.782,9.199866,7.116873,18.917913,16.904135
2.784,9.013025,6.949422,18.733994,16.82363
2.786,8.783625,6.761081,18.493887,16.608062
2.788,8.581614,6.625347,18.229277,16.272993
2.79,8.433826,6.545575,17.99347,15.917213
2.792,8.338789,6.493576,17.825572,15.642243
2.794,8.263206,6.418378,17.728749,15.508348
2.796,8.192913,6.326846,17.675096,15.472854
2.798,8.113197,6.23256,17.630709,15.474955
2.8,8.00705,6.147949,17.546771,15.42624
2.802,7.860791,6.064541,17.390541,15.28333
2.804,7.680955,5.977919,17.133372,14.994039
2.806,7.541184,5.906939,16.850223,14.636337
2.808,7.474713,5.86087,16.626412,14.338016
2.81,7.45187,5.820376,16.485351,14.167786
2.812,7.424098,5.759421,16.373125,14.079851
2.814,7.374596,5.671067,16.254833,14.026382
2.816,7.296083,5.561167,16.106756,13.948798
2.818,7.199497,5.452625,15.93158,13.809624
2.82,7.094681,5.372287,15.742416,13.603364
2.822,6.982658,5.334107,15.551276,13.364451
2.824,6.867782,5.333966,15.36703,13.140104
2.826,6.756996,5.357409,15.193526,12.956554
2.828,6.669695,5.379177,15.035275,12.81443
2.83,6.611202,5.376482,14.880151,12.69191
2.832,6.580441,5.335144,14.714949,12.569938
2.834,6.552381,5.256401,14.520195,12.414835
2.836,6.507783,5.155212,14.303377,12.220309
2.838,6.438141,5.053611,14.086726,11.996841
2.84,6.370522,4.964638,13.886316,11.792302
2.842,6.319589,4.893235,13.705612,11.625627
2.844,6.297408,4.836211,13.534483,11.50311
2.846,6.291318,4.810029,13.383894,11.394439
2.848,6.296781,4.817901,13.253344,11.282847
2.85,6.29989,4.866177,13.146085,11.137026
2.852,6.284402,4.923339,13.021086,10.963875
2.854,6.242629,4.967857,12.855913,10.773125
2.856,6.165064,4.958614,12.623037,10.595069
2.858,6.085578,4.921598,12.376173,10.429229
2.86,6.03433,4.882897,12.158815,10.270401
2.862,6.039255,4.87732,12.008071,10.097355
2.864,6.070632,4.889732,11.886836,9.912026
2.866,6.089138,4.898606,11.751946,9.714108
2.868,6.05156,4.878504,11.555128,9.510985
2.87,5.966215,4.839827,11.301445,9.312186
2.872,5.877655,4.814964,11.029549,9.127452
2.874,5.836887,4.832772,10.793612,8.968354
2.876,5.863956,4.903229,10.619344,8.840321
2.878,5.908619,4.987812,10.476663,8.719763
2.88,5.932272,5.053827,10.333663,8.585662
2.882,5.903771,5.079446,10.162668,8.417347
2.884,5.869301,5.064802,9.978498,8.237603
